Year,State,District,Agro-Climatic Zone,Crop,Season,Area (ha),Rainfall (mm),Irrigation (%),Soil Type,Fertilizer Use (kg/ha),Production (tonnes),crop_yield
2014,Gujarat,District_71,Eastern Plateau and Hills,Cotton,Rabi,29134,981.67,79.93,Alluvial,264.96,86500,2.97
2002,West Bengal,District_8,Upper Gangetic Plains,Rice,Kharif,140623,1034.18,21.27,Laterite,180.26,466135,3.31
2013,Andhra Pradesh,District_11,Western Plateau,Sugarcane,Zaid,99870,1471.32,28.35,Black,81.3,328753,3.29
2016,Tamil Nadu,District_98,Upper Gangetic Plains,Sugarcane,Rabi,74408,1267.4,53.03,Sandy,242.05,269846,3.63
2003,Maharashtra,District_28,Northern Hill Zone,Rice,Rabi,51784,1414.35,88.01,Sandy,296.35,136806,2.64
2017,Rajasthan,District_34,Northern Hill Zone,Maize,Rabi,5532,1048.31,65.49,Red,242.69,17558,3.17
2007,West Bengal,District_43,Western Dry Region,Maize,Kharif,50526,984.3,71.52,Sandy,288.08,129070,2.55
2003,West Bengal,District_84,Cauvery Delta Zone,Rice,Zaid,81884,1182.71,23.84,Laterite,299.71,334903,4.09
2001,Rajasthan,District_28,Eastern Plateau and Hills,Rice,Rabi,101632,1024.05,86.58,Red,128.09,229908,2.26
2005,Gujarat,District_49,Central Plateau and Hills,Rice,Zaid,107391,1736.87,46.37,Black,195.57,308098,2.87
2009,Karnataka,District_61,Trans-Gangetic Plains,Wheat,Kharif,97949,1782.75,33.56,Red,158.47,370630,3.78
2003,Karnataka,District_37,Eastern Plateau and Hills,Sugarcane,Zaid,118518,425.56,23.46,Alluvial,193.55,351205,2.96
2017,Punjab,District_3,Lower Gangetic Plains,Wheat,Rabi,18288,400.46,89.14,Black,194.85,27768,1.52
2011,Punjab,District_9,Eastern Plateau and Hills,Wheat,Rabi,44213,791.07,52.98,Laterite,173.43,69670,1.58
2001,Maharashtra,District_86,Trans-Gangetic Plains,Cotton,Kharif,121833,446.41,80.93,Black,93.9,521074,4.28
2009,Punjab,District_89,Lower Gangetic Plains,Wheat,Zaid,120591,1217.72,62.91,Clay,81.21,439448,3.64
2003,Punjab,District_2,Cauvery Delta Zone,Sugarcane,Rabi,134623,336.15,65.99,Laterite,182.82,433157,3.22
2013,Rajasthan,District_23,Trans-Gangetic Plains,Maize,Kharif,10931,1634.36,96.96,Laterite,251.34,40724,3.73
2015,Karnataka,District_51,Western Dry Region,Sugarcane,Zaid,133121,1403.35,73.35,Laterite,55.7,299597,2.25
2014,Punjab,District_17,Lower Gangetic Plains,Rice,Rabi,85394,660.04,67.34,Laterite,278.71,276867,3.24
2007,Andhra Pradesh,District_25,Upper Gangetic Plains,Rice,Kharif,126136,860.2,64.46,Sandy,109.33,237625,1.88
2013,Tamil Nadu,District_76,Trans-Gangetic Plains,Rice,Kharif,121275,819.52,63,Clay,246.88,482223,3.98
2007,Andhra Pradesh,District_27,Lower Gangetic Plains,Wheat,Kharif,11680,1868.4,97.1,Black,223.72,42155,3.61
2020,Gujarat,District_20,Eastern Plateau and Hills,Cotton,Kharif,74196,1807.98,47.53,Black,275.47,316394,4.26
2015,Andhra Pradesh,District_73,Trans-Gangetic Plains,Maize,Kharif,90035,1259.36,22.6,Alluvial,157.84,332013,3.69
2012,Maharashtra,District_87,Upper Gangetic Plains,Wheat,Zaid,127261,918.83,28.43,Red,128.67,527855,4.15
2017,Punjab,District_36,Western Dry Region,Rice,Rabi,48148,1085,83.58,Clay,70.6,111401,2.31
2014,Punjab,District_28,East Coast Plains & Hills,Sugarcane,Zaid,29949,1265.42,93.74,Black,107.44,66773,2.23
2020,Rajasthan,District_29,Eastern Plateau and Hills,Rice,Kharif,88986,1137.35,25.64,Laterite,278.01,286123,3.22
2012,Bihar,District_42,Eastern Plateau and Hills,Sugarcane,Rabi,147777,406.32,27.56,Clay,160.45,376242,2.55
2008,Gujarat,District_58,East Coast Plains & Hills,Maize,Kharif,30276,1086.74,27.75,Alluvial,51.83,106365,3.51
2014,Andhra Pradesh,District_32,Eastern Plateau and Hills,Rice,Kharif,131105,1864.18,34.27,Black,116.97,579835,4.42
2012,Bihar,District_12,Upper Gangetic Plains,Maize,Rabi,38064,994.54,29.71,Laterite,148.39,68913,1.81
2000,West Bengal,District_30,Western Dry Region,Rice,Zaid,86616,1491.81,49.73,Alluvial,53.71,345662,3.99
2006,Tamil Nadu,District_60,Cauvery Delta Zone,Rice,Rabi,78990,1995,52.22,Sandy,297.64,200560,2.54
2008,Tamil Nadu,District_11,East Coast Plains & Hills,Sugarcane,Zaid,24896,1239.21,61.86,Red,242.49,79515,3.19
2000,Karnataka,District_84,Central Plateau and Hills,Cotton,Kharif,9793,1121.87,83,Sandy,152.75,16707,1.71
2011,Punjab,District_11,Upper Gangetic Plains,Sugarcane,Kharif,73415,758.56,66.61,Laterite,155.63,129670,1.77
2007,Karnataka,District_80,Cauvery Delta Zone,Wheat,Zaid,109579,689.74,27.02,Clay,162.29,464945,4.24
2010,Rajasthan,District_99,Western Plateau,Maize,Kharif,74395,1244.73,84.51,Black,103.51,153226,2.06
2018,Gujarat,District_50,Cauvery Delta Zone,Maize,Zaid,65389,1449.47,79.78,Sandy,114.61,189950,2.9
2016,Gujarat,District_1,Western Dry Region,Cotton,Zaid,33955,1027.36,81.35,Black,208.32,106664,3.14
2007,West Bengal,District_89,Central Plateau and Hills,Rice,Rabi,106428,303.02,65.81,Alluvial,198.81,301905,2.84
2002,Maharashtra,District_27,Western Dry Region,Maize,Kharif,115091,1252.27,53.58,Red,174.2,375288,3.26
2002,Gujarat,District_32,Upper Gangetic Plains,Cotton,Rabi,50651,1271.74,33.62,Sandy,74.49,190277,3.76
2000,Gujarat,District_6,East Coast Plains & Hills,Wheat,Rabi,127052,424.29,95.85,Clay,76.81,363035,2.86
2004,Gujarat,District_41,Central Plateau and Hills,Maize,Kharif,90353,472.69,89.52,Sandy,269.98,235729,2.61
2009,Tamil Nadu,District_36,East Coast Plains & Hills,Wheat,Rabi,58433,817.78,39.93,Black,77.82,132750,2.27
2006,Maharashtra,District_39,Central Plateau and Hills,Sugarcane,Kharif,145914,1316.67,45.78,Black,80.26,258407,1.77
2008,Maharashtra,District_87,Lower Gangetic Plains,Maize,Kharif,127280,600.26,24.94,Laterite,158.25,385932,3.03
2006,Uttar Pradesh,District_93,Cauvery Delta Zone,Maize,Rabi,140628,885.26,79.63,Red,118.87,222215,1.58
2008,Andhra Pradesh,District_30,Western Dry Region,Rice,Kharif,84646,550.25,72.68,Sandy,185.5,366337,4.33
2007,Rajasthan,District_86,Eastern Plateau and Hills,Wheat,Kharif,74455,870.58,83.03,Clay,265.44,120104,1.61
2011,Punjab,District_57,East Coast Plains & Hills,Sugarcane,Kharif,71589,1538.27,28.32,Clay,288.18,186214,2.6
2001,Gujarat,District_11,Upper Gangetic Plains,Cotton,Kharif,124506,935.02,28.71,Alluvial,71.68,287028,2.31
2000,Gujarat,District_90,Western Plateau,Sugarcane,Rabi,66877,1689.69,88.06,Laterite,231.03,101954,1.52
2015,Uttar Pradesh,District_87,Cauvery Delta Zone,Maize,Zaid,133338,1876.64,75.01,Alluvial,248.81,445313,3.34
2004,Punjab,District_3,East Coast Plains & Hills,Wheat,Rabi,114690,822.27,44.04,Alluvial,167.31,221106,1.93
2002,Maharashtra,District_48,Western Dry Region,Maize,Zaid,18065,1356.75,55.67,Clay,172.35,70954,3.93
2011,West Bengal,District_6,Upper Gangetic Plains,Cotton,Zaid,56296,746.22,53.51,Alluvial,118.25,181247,3.22
2007,Tamil Nadu,District_7,Cauvery Delta Zone,Cotton,Zaid,13920,1267.09,58.69,Clay,52.4,61790,4.44
2002,Gujarat,District_44,Upper Gangetic Plains,Maize,Kharif,70415,502.76,50.09,Sandy,157.53,275520,3.91
2000,Rajasthan,District_61,Central Plateau and Hills,Maize,Zaid,52287,1323.98,96.52,Alluvial,258.87,146732,2.81
2002,Rajasthan,District_54,Upper Gangetic Plains,Maize,Kharif,109662,593.5,47.94,Black,79.76,466223,4.25
2004,Gujarat,District_51,Upper Gangetic Plains,Wheat,Kharif,107411,969.17,51.14,Laterite,280.86,478861,4.46
2014,Rajasthan,District_86,Eastern Plateau and Hills,Rice,Kharif,104615,702.42,87.83,Red,111.98,340543,3.26
2013,West Bengal,District_48,Trans-Gangetic Plains,Cotton,Rabi,21550,1652.42,20.79,Alluvial,65.77,69710,3.23
2002,Rajasthan,District_61,Western Plateau,Wheat,Zaid,111244,608.9,82.51,Sandy,275.26,234811,2.11
2000,Bihar,District_97,Lower Gangetic Plains,Cotton,Rabi,65019,1937.7,38.71,Sandy,226.74,254775,3.92
2004,Punjab,District_40,Central Plateau and Hills,Maize,Kharif,65268,502.4,66.93,Alluvial,214.99,279319,4.28
2013,Uttar Pradesh,District_3,Eastern Plateau and Hills,Cotton,Rabi,121216,1003.53,40.87,Red,215.2,309254,2.55
2006,Uttar Pradesh,District_30,Eastern Plateau and Hills,Sugarcane,Kharif,36802,1605.98,89.77,Sandy,266.78,86236,2.34
2008,Karnataka,District_24,East Coast Plains & Hills,Cotton,Rabi,20095,499.09,93.97,Alluvial,216.62,84264,4.19
2014,Tamil Nadu,District_67,Northern Hill Zone,Sugarcane,Kharif,106503,834.51,34.63,Alluvial,74.91,186129,1.75
2014,Punjab,District_2,Upper Gangetic Plains,Wheat,Kharif,129993,1069.76,90.66,Black,206.13,231760,1.78
2009,Gujarat,District_44,Western Plateau,Wheat,Rabi,46248,1595.93,30.72,Sandy,171.26,200054,4.33
2012,Bihar,District_40,Cauvery Delta Zone,Sugarcane,Kharif,123905,1638.56,55.16,Alluvial,202.78,436131,3.52
2018,West Bengal,District_19,Western Dry Region,Cotton,Zaid,90970,1754.41,21.46,Red,223.71,284664,3.13
2006,Karnataka,District_63,Central Plateau and Hills,Wheat,Rabi,33776,820.94,51.4,Black,258.97,149422,4.42
2016,Tamil Nadu,District_24,East Coast Plains & Hills,Cotton,Rabi,87283,326.04,26.55,Black,265.84,154051,1.76
2019,Tamil Nadu,District_50,East Coast Plains & Hills,Rice,Kharif,57935,1523.15,72.63,Clay,194.79,209893,3.62
2003,Andhra Pradesh,District_20,Western Dry Region,Rice,Rabi,88429,594.19,73.85,Red,142.73,253570,2.87
2004,Punjab,District_57,Upper Gangetic Plains,Sugarcane,Zaid,137145,963.09,29.4,Clay,280.2,477955,3.49
2006,Bihar,District_50,East Coast Plains & Hills,Sugarcane,Rabi,62923,1668.27,84.1,Black,124.42,127273,2.02
2012,Maharashtra,District_95,Western Dry Region,Cotton,Zaid,31694,1337.77,37.6,Red,69.61,102188,3.22
2014,West Bengal,District_58,Western Plateau,Rice,Rabi,39520,1784.92,43.99,Clay,249.47,158337,4.01
2010,Karnataka,District_31,Eastern Plateau and Hills,Rice,Zaid,66369,1410.06,28.96,Clay,113.89,290597,4.38
2003,Gujarat,District_37,Western Plateau,Sugarcane,Rabi,93710,950.3,86.83,Sandy,298.11,199280,2.13
2012,Uttar Pradesh,District_93,East Coast Plains & Hills,Maize,Zaid,19957,356.44,59.84,Black,115.21,89054,4.46
2006,Karnataka,District_4,Upper Gangetic Plains,Cotton,Kharif,48719,325.08,88.37,Laterite,248.19,128203,2.63
2018,Rajasthan,District_58,Western Dry Region,Cotton,Rabi,38214,727.91,54.02,Sandy,85.78,142860,3.74
2001,Tamil Nadu,District_10,Eastern Plateau and Hills,Wheat,Rabi,24193,1399.3,51.35,Black,76,80021,3.31
2009,Gujarat,District_63,Upper Gangetic Plains,Sugarcane,Zaid,44086,1514.02,56.74,Sandy,106.37,92209,2.09
2012,West Bengal,District_36,Upper Gangetic Plains,Wheat,Rabi,57184,885.12,58.87,Sandy,287.95,175042,3.06
2020,Bihar,District_55,Northern Hill Zone,Maize,Zaid,127458,1737.82,50.71,Red,227.45,398295,3.12
2005,Maharashtra,District_99,Central Plateau and Hills,Wheat,Kharif,83093,1903.7,56.96,Laterite,87.45,265529,3.2
2011,Rajasthan,District_57,Northern Hill Zone,Maize,Zaid,105510,806.94,58.43,Alluvial,78.88,227031,2.15
2011,Gujarat,District_85,Western Dry Region,Wheat,Rabi,101709,898.17,99.26,Alluvial,120.39,425284,4.18
2019,Gujarat,District_43,Cauvery Delta Zone,Sugarcane,Kharif,104609,989.13,70.45,Red,118.92,199539,1.91
2010,Tamil Nadu,District_65,Upper Gangetic Plains,Maize,Zaid,40507,772.4,88.46,Red,263.16,152923,3.78
2006,Punjab,District_12,East Coast Plains & Hills,Cotton,Zaid,99239,1399.25,59.08,Red,143.54,236068,2.38
2000,Rajasthan,District_62,Central Plateau and Hills,Sugarcane,Kharif,39739,1845.29,66.88,Clay,235.39,66074,1.66
2000,Tamil Nadu,District_24,East Coast Plains & Hills,Sugarcane,Rabi,146693,1026.73,22.7,Clay,161.9,581127,3.96
2019,Karnataka,District_2,Eastern Plateau and Hills,Rice,Rabi,95812,606.09,42.88,Laterite,176.54,411313,4.29
2012,Rajasthan,District_47,Eastern Plateau and Hills,Cotton,Rabi,88272,631.92,84.12,Laterite,96.54,278672,3.16
2008,Maharashtra,District_56,Western Plateau,Wheat,Kharif,125357,1527.11,47.01,Alluvial,54.9,490806,3.92
2002,Uttar Pradesh,District_84,Upper Gangetic Plains,Sugarcane,Zaid,55996,1548.14,77.98,Sandy,166.35,226164,4.04
2006,Karnataka,District_16,East Coast Plains & Hills,Wheat,Kharif,90438,1109.11,22.32,Sandy,131.77,318960,3.53
2005,Maharashtra,District_34,Cauvery Delta Zone,Sugarcane,Zaid,15711,1593.19,64.62,Laterite,296.28,39768,2.53
2007,Bihar,District_77,Central Plateau and Hills,Cotton,Kharif,108351,1168.34,99.08,Laterite,91.43,400702,3.7
2008,Tamil Nadu,District_18,Upper Gangetic Plains,Sugarcane,Zaid,49168,818.41,77.12,Sandy,73.08,217593,4.43
2004,Maharashtra,District_29,Western Plateau,Wheat,Zaid,42081,537.19,75.96,Black,136.48,76871,1.83
2000,Punjab,District_54,Trans-Gangetic Plains,Wheat,Kharif,121607,1177.48,58.6,Sandy,127.87,341943,2.81
2018,Andhra Pradesh,District_51,Eastern Plateau and Hills,Cotton,Kharif,73630,1721.19,42.6,Alluvial,182.78,268003,3.64
2009,Uttar Pradesh,District_14,Cauvery Delta Zone,Wheat,Kharif,56681,1873.69,53.1,Red,119.17,104107,1.84
2011,Bihar,District_94,Lower Gangetic Plains,Maize,Zaid,138900,403.13,61.18,Red,177.48,355322,2.56
2014,Gujarat,District_58,Trans-Gangetic Plains,Sugarcane,Kharif,87151,1861.28,77.15,Red,112.97,269054,3.09
2008,Tamil Nadu,District_35,Western Dry Region,Maize,Zaid,39701,602.57,33.07,Alluvial,297.32,112040,2.82
2019,Karnataka,District_9,Central Plateau and Hills,Rice,Zaid,78276,1327.77,49.55,Alluvial,164.6,308721,3.94
2016,Andhra Pradesh,District_37,Western Dry Region,Rice,Kharif,127085,1042.68,88.55,Alluvial,225.36,352821,2.78
2016,Rajasthan,District_12,East Coast Plains & Hills,Sugarcane,Rabi,140258,1491.55,20.75,Sandy,241.09,319373,2.28
2019,Tamil Nadu,District_85,East Coast Plains & Hills,Wheat,Rabi,74205,1200.75,85.69,Clay,289.66,325516,4.39
2011,West Bengal,District_82,Upper Gangetic Plains,Cotton,Zaid,108080,962.54,24.32,Laterite,166.82,409833,3.79
2006,Tamil Nadu,District_11,Eastern Plateau and Hills,Rice,Zaid,105343,421.07,82.07,Laterite,227.12,399783,3.8
2001,West Bengal,District_27,Western Dry Region,Wheat,Rabi,100609,344.98,99.19,Clay,55.06,164682,1.64
2002,Gujarat,District_88,Cauvery Delta Zone,Cotton,Zaid,49458,703.68,79.72,Black,194.07,143861,2.91
2016,Bihar,District_43,Western Dry Region,Sugarcane,Rabi,78723,1567.79,62.74,Black,235.12,234735,2.98
2004,Uttar Pradesh,District_50,Cauvery Delta Zone,Wheat,Zaid,107549,1350.5,30.52,Alluvial,246.49,452628,4.21
2016,Tamil Nadu,District_98,Upper Gangetic Plains,Maize,Zaid,38627,1010.45,24.6,Red,51.07,74081,1.92
2016,Gujarat,District_20,Lower Gangetic Plains,Sugarcane,Kharif,9781,1210.16,52.27,Laterite,205.32,28503,2.91
2016,Rajasthan,District_13,Western Plateau,Rice,Rabi,128997,1304.41,52.94,Clay,229.61,500859,3.88
2001,Andhra Pradesh,District_47,Central Plateau and Hills,Sugarcane,Zaid,149313,419.81,38.78,Black,260.97,519439,3.48
2001,Punjab,District_8,Lower Gangetic Plains,Sugarcane,Rabi,18480,848.67,52.02,Laterite,196.99,54780,2.96
2004,Maharashtra,District_69,Cauvery Delta Zone,Cotton,Kharif,134890,1794.88,43.16,Sandy,173.78,394551,2.92
2000,Gujarat,District_71,Central Plateau and Hills,Rice,Rabi,140166,1546.82,24.49,Laterite,81.2,278229,1.98
2000,Andhra Pradesh,District_64,Lower Gangetic Plains,Cotton,Zaid,41914,446.85,55.86,Laterite,150.02,124586,2.97
2018,West Bengal,District_44,Eastern Plateau and Hills,Sugarcane,Rabi,131599,769.28,58.73,Red,216.99,489446,3.72
2001,Gujarat,District_12,Western Dry Region,Wheat,Kharif,18177,643.67,76.06,Sandy,270.27,79108,4.35
2020,Rajasthan,District_4,Cauvery Delta Zone,Maize,Rabi,9785,949.12,64.04,Black,65.27,39659,4.05
2011,Gujarat,District_40,Western Plateau,Maize,Rabi,61422,1969.98,92.27,Red,53.33,196521,3.2
2005,Uttar Pradesh,District_19,East Coast Plains & Hills,Cotton,Rabi,71900,1281.02,48.09,Sandy,238.34,192365,2.68
2003,West Bengal,District_54,Western Plateau,Wheat,Rabi,35164,568.62,37.75,Sandy,128.84,72034,2.05
2010,Tamil Nadu,District_1,Western Plateau,Maize,Zaid,134707,1635.02,25.45,Red,116.04,530942,3.94
2016,Karnataka,District_13,Lower Gangetic Plains,Wheat,Rabi,143091,1296.44,50.95,Red,206.69,572309,4
2005,Punjab,District_50,Eastern Plateau and Hills,Cotton,Kharif,32914,1765.14,24.13,Clay,194.8,105115,3.19
2004,Tamil Nadu,District_53,Eastern Plateau and Hills,Rice,Rabi,135400,1126.75,58.61,Alluvial,190.78,523129,3.86
2019,Maharashtra,District_42,Northern Hill Zone,Wheat,Kharif,149420,1813.72,91.54,Laterite,214.71,619935,4.15
2001,Gujarat,District_25,Western Plateau,Wheat,Kharif,69960,1754.85,62.97,Clay,240.79,239385,3.42
2005,Bihar,District_44,Western Plateau,Rice,Kharif,19477,407.91,72.47,Clay,166.24,60806,3.12
2010,Gujarat,District_98,Western Dry Region,Sugarcane,Kharif,47023,1701.52,90.39,Red,77.89,103123,2.19
2015,West Bengal,District_99,Central Plateau and Hills,Sugarcane,Zaid,8351,500.42,30.75,Alluvial,256.53,27912,3.34
2015,Uttar Pradesh,District_61,East Coast Plains & Hills,Sugarcane,Rabi,113815,486,64.09,Alluvial,210.11,240540,2.11
2000,Gujarat,District_81,Trans-Gangetic Plains,Cotton,Rabi,105409,572.32,48.84,Laterite,267.41,228636,2.17
2008,Maharashtra,District_90,Northern Hill Zone,Sugarcane,Zaid,25705,1864.49,66.86,Black,211.09,45027,1.75
2005,Rajasthan,District_21,Upper Gangetic Plains,Cotton,Rabi,48168,1141.54,30.37,Black,74.59,147178,3.06
2015,Gujarat,District_51,Northern Hill Zone,Rice,Zaid,20351,846.11,48.75,Clay,79.26,33006,1.62
2002,Tamil Nadu,District_76,Cauvery Delta Zone,Wheat,Kharif,116818,393.86,76.42,Laterite,95.79,282576,2.42
2019,Karnataka,District_80,Lower Gangetic Plains,Maize,Rabi,58979,498.43,65.77,Alluvial,145.86,89179,1.51
2003,Bihar,District_52,Eastern Plateau and Hills,Maize,Kharif,33127,621.7,79.45,Clay,130.83,120968,3.65
2018,Maharashtra,District_63,Trans-Gangetic Plains,Cotton,Rabi,61577,615.86,55.8,Black,190.17,123207,2
2002,Maharashtra,District_84,Upper Gangetic Plains,Cotton,Rabi,43092,437.12,33.54,Black,66.77,159110,3.69
2018,West Bengal,District_54,Central Plateau and Hills,Wheat,Rabi,124308,436.83,38.39,Clay,264.61,385603,3.1
2019,Maharashtra,District_10,Upper Gangetic Plains,Rice,Kharif,51436,806.54,81.51,Sandy,155.77,229019,4.45
2006,Bihar,District_87,Western Dry Region,Wheat,Zaid,19739,1230.4,48.13,Sandy,269.46,87406,4.43
2019,Tamil Nadu,District_94,Northern Hill Zone,Cotton,Kharif,122946,1276.05,52.6,Black,233.76,287564,2.34
2008,Karnataka,District_59,Western Dry Region,Wheat,Zaid,65548,789.88,86.58,Red,246.92,287964,4.39
2000,Andhra Pradesh,District_8,Trans-Gangetic Plains,Cotton,Rabi,64112,436.33,37.5,Laterite,99.46,236457,3.69
2007,Gujarat,District_51,Central Plateau and Hills,Maize,Rabi,26858,1334.65,85.14,Alluvial,240.62,80201,2.99
2006,Maharashtra,District_5,Trans-Gangetic Plains,Wheat,Rabi,117961,1415.52,29.49,Black,221.72,245713,2.08
2017,Rajasthan,District_76,Trans-Gangetic Plains,Rice,Rabi,35338,1486.93,31.66,Black,280.47,154843,4.38
2007,Uttar Pradesh,District_42,Trans-Gangetic Plains,Maize,Kharif,8861,1877.3,48.44,Laterite,204.76,23073,2.6
2000,Rajasthan,District_78,Central Plateau and Hills,Rice,Zaid,60169,361.79,85.6,Clay,270.67,132753,2.21
2010,Tamil Nadu,District_12,Cauvery Delta Zone,Rice,Zaid,142142,657.7,77.96,Alluvial,246.43,358383,2.52
